record_id,ocid,contract_id,data_source,country,country_name,buyer_region,is_oecd,tender_date,award_date,contract_date,year,month,quarter,year_month,time_to_award_days,value_local,currency_local,value_usd,value_eur,value_usd_2020,log_value_usd,estimated_value_usd,procurement_method,procurement_method_category,is_framework,is_emergency,is_above_threshold,n_bidders,single_bidder,competitive,hhi_buyer,hhi_sector,buyer_id,buyer_name,buyer_type,buyer_type_category,supplier_id,supplier_name,supplier_country,supplier_is_sme,supplier_is_foreign,cpv_code,cpv_division,cpv_group,cpv_class,cpv_description,sector,gprd_sector,carbon_intensity_kg_usd,carbon_footprint_kg,flag_missing_value,flag_missing_dates,flag_outlier_value,quality_score
EU_TED_20065236,ocds-ted-eu-5603728,-30,EU_TED,GR,Greece,,True,,,,2018.0,5.0,2.0,NaT,,683715.06,EUR,806783.7708,683715.06,855190.7970480002,5.906757153394352,,open,OPEN,False,,True,,False,False,0.9350921139099138,,999070198,"ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΣΙΘΙΟΥ-Γ.Ν.-Κ.Υ. ΝΕΑΠΟΛΕΩΣ ""ΔΙΑΛΥΝΑΚΕΙΟ""",Utilities,OTHER,,,,False,True,33162200.0,33,331,3316,,,,,,False,True,False,0.42857142857142855
EU_TED_31588049,ocds-ted-eu-1149532,-13 - 1030,EU_TED,DE,Germany,,True,,,,2022.0,11.0,4.0,NaT,,,EUR,,,,,,limited,NEGOTIATED,True,,False,,False,False,1.0,,None,PBMG eG,Utilities,OTHER,,,,False,True,33600000,33,336,3360,,,,,,True,True,False,0.2857142857142857
EU_TED_25322676,ocds-ted-eu-2020491071,2020491071-nan,EU_TED,NL,Netherlands,,True,,,,2020.0,10.0,4.0,NaT,,58464.0,EUR,66648.95999999999,58464.0,66648.95999999999,4.823793377008917,,limited,NEGOTIATED,False,,False,2.0,False,True,0.4475220984767179,,27380834,Ministerie van Veiligheid en Justitie,Central government,CENTRAL_GOVERNMENT,34091804,HeadFirst bv,NL,False,True,79620000,79,796,7962,,,,,,False,False,False,0.7142857142857143
EU_TED_22658465,ocds-ted-eu-2019305451,2019305451-37,EU_TED,PL,Poland,,True,,,,2019.0,6.0,2.0,NaT,,1380.24,EUR,1545.8688000000002,1380.24,1607.7035520000002,3.189172631979513,,open,OPEN,False,,False,1.0,True,False,0.9998982334511768,,nan,Instytut Psychiatrii i Neurologii,Utilities,OTHER,nan,Lek S.A,PL,True,True,33680000,33,336,3368,,,,,,False,False,False,0.7142857142857143
EU_TED_5681288,ocds-ted-eu-2015461941,2015461941-nan,EU_TED,FR,France,,True,,,,2015.0,,,NaT,,81559.8,EUR,90531.37800000001,81559.8,102300.45714,4.956799130922151,,open,OPEN,False,,False,5.0,False,True,0.9998982334511768,,nan,SDIS de Côte d'Or,Body governed by public law,PUBLIC_BODY,nan,SMACL assurances,FR,False,True,66510000,66,665,6651,,,,,,False,True,False,0.7142857142857143
EU_TED_4988466,ocds-ted-eu-47000,-nan,EU_TED,NO,Norway,,True,,,,2014.0,,,NaT,,359092.21,EUR,477592.63930000004,359092.21,539679.682409,5.679057624787923,,open,OPEN,False,,True,,False,False,0.483116036336454,,983495400,BIR AS,Utilities,OTHER,,,,False,True,85147000.0,85,851,8514,,,,,,False,True,False,0.42857142857142855
EU_TED_11944554,ocds-ted-eu-2021248310,2021248310-246,EU_TED,LT,Lithuania,,True,,,,2018.0,5.0,2.0,NaT,,,EUR,,,,,,open,OPEN,False,,False,,False,False,0.7560845567905542,,190766619,Užimtumo tarnyba prie Lietuvos Respublikos socialinės apsaugos ir darbo ministerijos,Central government,CENTRAL_GOVERNMENT,nan,nan,nan,False,True,85312510,85,853,8531,,,,,,True,True,False,0.42857142857142855
EU_TED_15279595,ocds-ted-eu-818087,-61,EU_TED,PL,Poland,,True,,,,2018.0,1.0,1.0,NaT,,,EUR,,,,,,open,OPEN,False,,False,,False,False,0.5660103744135574,,000289093,Centrum Medyczne Kształcenia Podyplomowego,Public undertaking,OTHER,,,,False,True,80320000.0,80,803,8032,,,,,,True,True,False,0.2857142857142857
EU_TED_17307716,ocds-ted-eu-2846208,-5,EU_TED,FR,France,,True,,,,2018.0,11.0,4.0,NaT,,401610.0,EUR,473899.8,401610.0,502333.788,5.675686525414078,,open,OPEN,True,,True,,False,False,1.0,,None,Région Centre Val de Loire,Body governed by public law,PUBLIC_BODY,,,,False,True,80530000.0,80,805,8053,,,,,,False,True,False,0.42857142857142855
EU_TED_22514828,ocds-ted-eu-2019210622,2019210622-4,EU_TED,BG,Bulgaria,,False,,,,2019.0,5.0,2.0,NaT,,,EUR,,,,,,open,OPEN,False,,False,,False,False,0.8906392456082012,,000093442,Община Варна,Body governed by public law,PUBLIC_BODY,nan,nan,nan,False,True,45244100,45,452,4524,,,,,,True,True,False,0.42857142857142855
EU_TED_23171040,ocds-ted-eu-1898,-31,EU_TED,RO,Romania,,False,,,,2019.0,12.0,4.0,NaT,,,EUR,,,,,,open,OPEN,True,,False,,False,False,0.8923383920665741,,Romania,Spital Clinic Județean de Urgență Oradea,Utilities,OTHER,,,,False,True,33183200,33,331,3318,,,,,,True,True,False,0.2857142857142857
EU_TED_32098856,ocds-ted-eu-1660339,-nan,EU_TED,IT,Italy,,True,,,,2022.0,12.0,4.0,NaT,,,EUR,,,,,,open,OPEN,False,,False,,False,False,1.0,,None,Comune di Palosco,Body governed by public law,PUBLIC_BODY,,,,False,True,77310000,77,773,7731,,,,,,True,True,False,0.2857142857142857
OCDS_CO_38692736,ocds-k50g02-16-4-4834321,16-4-4834321,OCDS_CO,CO,Colombia,,True,2016-01-01 08:00:00,,,2016.0,1.0,1.0,2016-01,,9240000.0,COP,3029.5081967213114,2754.0983606557375,3362.754098360656,3.481372131873321,3029.5081967213114,open,OPEN,False,False,False,0.0,False,False,0.005700983528420911,0.011109378951768655,800196939,BOGOTA - ESE HOSPITAL OCCIDENTE DE KENNEDY III NIVEL,,OTHER,28685951,RODRIGUEZ ARDILA LIGIA PATRICIA,Colombia,False,False,851016,85,851,8510,,HEALTH,,,,False,True,False,0.7142857142857143
OCDS_CO_40176586,ocds-k50g02-18-12-7694311,18-12-7694311,OCDS_CO,CO,Colombia,,True,2018-01-27 16:32:18,,,2018.0,1.0,1.0,2018-01,,18975000.0,COP,6432.203389830508,5847.457627118643,6818.135593220339,3.808359768589355,6432.203389830508,direct,DIRECT,False,False,False,0.0,False,False,0.17510851291014093,0.03271454890460778,890330180,VALLE DEL CAUCA - INSTITUTO MUNICIPAL DE CULTURA DE YUMBO,,OTHER,16458421,DEINER MARINO COLORADO VASQUEZ,Colombia,False,False,801615,80,801,8016,,SERVICES,,,,False,True,False,0.7142857142857143
EU_TED_22504196,ocds-ted-eu-2019203550,2019203550-108,EU_TED,LT,Lithuania,,True,,,,2019.0,4.0,2.0,NaT,,32.0,EUR,35.84,32.0,37.2736,1.5543680009900875,,open,OPEN,False,,False,3.0,False,True,0.7241504469210076,,135042056,Viešoji įstaiga Respublikinė Kauno ligoninė,Public undertaking,OTHER,134056779,UAB Limedika,LT,False,True,33600000,33,336,3360,,,,,,False,False,True,0.7142857142857143
EU_TED_13560410,ocds-ted-eu-2023117375,2023117375-nan,EU_TED,DE,Germany,,True,,,,2018.0,2.0,1.0,NaT,,2200440.0,EUR,2596519.1999999997,2200440.0,2752310.352,6.414391538339981,,limited,NEGOTIATED,False,,True,1.0,True,False,0.9998982334511768,,nan,GSI Helmholtzzentrum für Schwerionenforschung GmbH,Utilities,OTHER,nan,RI Research Instruments,DE,True,True,38000000,38,380,3800,,,,,,False,False,False,0.7142857142857143
EU_TED_11981555,ocds-ted-eu-2021272469,2021272469-nan,EU_TED,SI,Slovenia,,True,,,,2018.0,5.0,2.0,NaT,,1549111.29,EUR,1827951.3222,1549111.29,1937628.4015320002,6.261964626418923,,limited,NEGOTIATED,False,,True,1.0,True,False,0.3713527509285752,,5040388000,Termoelektrarna Šoštanj d.o.o.,EU institution,OTHER,5063345000,"Zavarovalnica Triglav, d.d.",SI,False,True,66510000,66,665,6651,,,,,,False,False,False,0.7142857142857143
EU_TED_2944010,ocds-ted-eu-112492,-nan,EU_TED,GB,United Kingdom,,True,,,,2011.0,,,NaT,,172834.95,EUR,240240.5805,172834.95,240240.5805,5.3806463685900345,,limited,NEGOTIATED,False,,True,,False,False,1.0,,None,The Chancellor; Masters and Scholars of the University of Cambridge,Utilities,OTHER,,,,False,True,48400000.0,48,484,4840,,,,,,False,True,False,0.42857142857142855
OCDS_CO_39325260,ocds-k50g02-17-12-6834231,17-12-6834231,OCDS_CO,CO,Colombia,,True,2017-07-19 15:52:36,,,2017.0,7.0,3.0,2017-07,,9817500.0,COP,3327.9661016949153,3025.423728813559,3627.483050847458,3.522178893964293,3327.9661016949153,direct,DIRECT,False,False,False,0.0,False,False,0.26750679097176616,0.03271454890460778,null,null,,OTHER,13435519,OMAR OVALLOS AREVALO,Colombia,False,False,801016,80,801,8010,,SERVICES,,,,False,True,False,0.7142857142857143
EU_TED_21017892,ocds-ted-eu-6556384,-13 - 311,EU_TED,DE,Germany,,True,,,,2018.0,11.0,4.0,NaT,,,EUR,,,,,,limited,NEGOTIATED,True,,False,,False,False,1.0,,None,PBMG eG,Utilities,OTHER,,,,False,True,33600000.0,33,336,3360,,,,,,True,True,False,0.2857142857142857
EU_TED_12545395,ocds-ted-eu-2021613462,2021613462-15,EU_TED,HU,Hungary,,True,,,,2018.0,11.0,4.0,NaT,,6833.65,EUR,8063.706999999999,6833.65,8547.529419999999,3.9065347390177454,,open,OPEN,True,,False,2.0,False,True,0.7677805984770263,,15309824210,Mátrai Gyógyintézet,Utilities,OTHER,26105198243,KEDVENC Kereskedőház Zártkörűen Működő Részvénytársaság,HU,False,True,15000000,15,150,1500,,,,,,False,False,False,0.7142857142857143
EU_TED_8470043,ocds-ted-eu-201860831,201860831-nan,EU_TED,BG,Bulgaria,,False,,,,2018.0,2.0,1.0,NaT,,433468.15,EUR,511492.417,433468.15,542181.9620200001,5.708839199574146,,open,OPEN,False,,True,3.0,False,True,0.5600330063184693,,000261630,Община Дупница,Body governed by public law,PUBLIC_BODY,201484467,„Aвтокам България“ ООД,BG,True,True,34100000,34,341,3410,,,,,,False,False,False,0.7142857142857143
EU_TED_23393017,ocds-ted-eu-223875,-1,EU_TED,PL,Poland,,True,,,,2019.0,3.0,1.0,NaT,,,EUR,,,,,,open,OPEN,False,,False,,False,False,1.0,,None,Samodzielny Publiczny Szpital Kliniczny nr 4 w Lublinie,Public undertaking,OTHER,,,,False,True,15500000,15,155,1550,,,,,,True,True,False,0.2857142857142857
EU_TED_18789880,ocds-ted-eu-4328372,-40,EU_TED,PL,Poland,,True,,,,2018.0,4.0,2.0,NaT,,,EUR,,,,,,open,OPEN,False,,False,,False,False,1.0,,None,Wojewódzki Szpital Specjalistyczny w Białej Podlaskiej,Utilities,OTHER,,,,False,True,33651100.0,33,336,3365,,,,,,True,True,False,0.2857142857142857
OCDS_GB_45859988,ocds-b5fd17-32f39b2f-b3db-4211-9da3-bf86dec2c311,BATH001-DN570542-12154828,OCDS_GB,GB,United Kingdom,,True,2021-09-20 09:29:14,,,2021.0,9.0,3.0,2021-09,,,GBP,,,,,1517999.9999999998,,OTHER,False,False,False,0.0,False,False,0.21901553272961263,0.011109378951768655,GB-CFS-49575,Bath and North East Somerset Council,,OTHER,,,,False,True,85000000,85,850,8500,,HEALTH,,,,True,True,False,0.42857142857142855
OCDS_CO_34687023,ocds-k50g02-14-12-2969159,14-12-2969159,OCDS_CO,CO,Colombia,,True,2014-09-24 11:54:52,,,2014.0,9.0,3.0,2014-09,,7200000.0,COP,3600.0,3272.7272727272725,4067.9999999999995,3.5563025007672873,3600.0,direct,DIRECT,False,False,False,0.0,False,False,0.26750679097176616,0.999512881969996,null,null,,OTHER,30938097,SANDRA YULITZA RIOS,Colombia,False,False,,,,,,OTHER,,,,False,True,False,0.5714285714285714
EU_TED_32686282,ocds-ted-eu-2023359794,2023359794-13,EU_TED,LT,Lithuania,,True,,,,2023.0,6.0,2.0,NaT,,55321.0,EUR,59746.68000000001,55321.0,50187.211200000005,4.776313777440431,,open,OPEN,False,,False,1.0,True,False,0.529725338389389,,132340880,Valstybės įmonė Valstybinių miškų urėdija,Public undertaking,OTHER,306162318,MB Drakono medis,LT,True,True,77200000,77,772,7720,,,,,,False,False,False,0.7142857142857143
EU_TED_26765395,ocds-ted-eu-1196727,-5,EU_TED,RO,Romania,,False,,,,2020.0,12.0,4.0,NaT,,42413051.34,EUR,48350878.5276,42413051.34,48350878.5276,7.684404369550822,,open,OPEN,True,,True,,False,False,0.6791211496975796,,9524980,Institutul de Boli Infecțioase „Prof. Dr. Matei Balș”,Utilities,OTHER,,,,False,True,33696000,33,336,3369,,,,,,False,True,False,0.42857142857142855
OCDS_CO_45116113,ocds-k50g02-CO1.BDOS.1648972,CD-DAL-009-2021,OCDS_CO,CO,Colombia,,True,2021-01-12 17:20:48,,,2021.0,1.0,1.0,2021-01,,171360000.0,COP,45818.181818181816,41652.89256198346,43527.27272727272,4.6610378512873005,45818.181818181816,direct,DIRECT,False,False,False,0.0,False,False,0.6246114498368356,0.999512881969996,890480059,GOBERNACIÓN DE BOLÍVAR,,OTHER,nan,nan,nan,,True,1.80131500,1.,1.8,1.80,,OTHER,,,,False,True,False,0.7142857142857143
EU_TED_2772424,ocds-ted-eu-2011366083,2011366083-nan,EU_TED,PL,Poland,,True,,,,2011.0,,,NaT,,837.26,EUR,1163.7913999999998,837.26,1163.7913999999998,3.0658751435891807,,open,OPEN,False,,False,,False,False,0.9998982334511768,,nan,Uniwersytet Warmińsko-Mazurski w Olsztynie,Utilities,OTHER,nan,Alchem Grupa sp. z o.o.; ul. Polna 21; 87-100 Toruń; Oddział Białystok,PL,False,True,38000000.0,38,380,3800,,,,,,False,True,False,0.5714285714285714
EU_TED_29812975,ocds-ted-eu-2022290409,2022290409-nan,EU_TED,LV,Latvia,,True,,,,2022.0,5.0,2.0,NaT,,5542.15,EUR,5819.2575,5542.15,5062.754024999999,3.7648675749893923,,open,OPEN,True,,False,326.0,False,True,0.6796817897317327,,90009115938,Valsts izglītības satura centrs,Central government,CENTRAL_GOVERNMENT,nan,INESE EGLE,LV,True,True,80000000,80,800,8000,,,,,,False,False,False,0.7142857142857143
OCDS_CO_38982027,ocds-k50g02-17-12-6057583,17-12-6057583,OCDS_CO,CO,Colombia,,True,2016-08-01 07:00:00,,,2016.0,8.0,3.0,2016-08,,12500000.0,COP,4098.360655737705,3725.7824143070043,4549.180327868853,3.612610173661271,4098.360655737705,direct,DIRECT,False,False,False,0.0,False,False,0.26750679097176616,0.03271454890460778,null,null,,OTHER,12193433,CARLOS HUMBERTO QUIROGA BUSTOS,Colombia,False,False,801115,80,801,8011,,SERVICES,,,,False,True,False,0.7142857142857143
EU_TED_23819569,ocds-ted-eu-650427,-16,EU_TED,RO,Romania,,False,,,,2019.0,6.0,2.0,NaT,,508554.57,EUR,569581.1184,508554.57,592364.363136,5.755555584016079,,open,OPEN,True,,True,,False,False,0.7876863422979085,,4701320,"""Spitalul Clinic de Obstetrică și Ginecologie „Cuza Vodă""""""",Utilities,OTHER,,,,False,True,33140000,33,331,3314,,,,,,False,True,False,0.42857142857142855
OCDS_CO_37571527,ocds-k50g02-15-13-3436237,15-13-3436237,OCDS_CO,CO,Colombia,,True,2015-02-09 07:30:00,,,2015.0,2.0,1.0,2015-02,,8000000.0,COP,2919.70802919708,2654.2800265428,3299.2700729927,3.4653394241715554,2919.70802919708,open,OPEN,False,False,False,0.0,False,False,0.07617251142980702,0.999512881969996,891857861,CASANARE - TRINIDAD - ALCALDIA,,OTHER,900334084,FUNDACION EMPREDER J & J,Colombia,False,False,,,,,,OTHER,,,,False,True,False,0.5714285714285714
EU_TED_27670352,ocds-ted-eu-2021459856,2021459856-3,EU_TED,ES,Spain,,True,,,,2021.0,9.0,3.0,NaT,,296000.0,EUR,349280.0,296000.0,331816.0,5.543173718365064,,limited,NEGOTIATED,False,,True,,False,False,1.0,,A30595417---A82625021---B86589827---B86589850---B86589884,"REDEXIS GAS MURCIA, S.A.---REDEXIS GAS S.A.---REDEXIS GAS SERVICIOS, S.L.U.---REDEXIS GLP, S.L.U.---REDEXIS INFRAESTRUCTURAS, S.L.U.",EU institution,OTHER,nan,nan,nan,False,True,50514200,50,505,5051,,,,,,False,True,False,0.5714285714285714
EU_TED_9138354,ocds-ted-eu-202268383,202268383-nan,EU_TED,RO,Romania,,False,,,,2018.0,2.0,1.0,NaT,,142493.14,EUR,168141.9052,142493.14,178230.41951200002,5.2256759640586585,,open,OPEN,False,,True,12.0,False,True,0.6226846757624072,,3694594,"SPITALUL JUDETEAN DE URGENTA""DR. CONSTANTIN OPRIS"" BAIA MARE",Utilities,OTHER,14688172,DDS Diagnostic,RO,True,True,33141625,33,331,3314,,,,,,False,False,False,0.7142857142857143
EU_TED_14104048,ocds-ted-eu-2023506996,2023506996-20,EU_TED,RO,Romania,,False,,,,2018.0,8.0,3.0,NaT,,798207.69,EUR,941885.0741999999,798207.69,998398.1786519999,5.97399791480384,,open,OPEN,False,,True,,False,False,0.6791211496975796,,9524980,"Institutul de Boli Infectioase ""Prof. Dr. Matei Bals""",Utilities,OTHER,nan,nan,nan,False,True,33690000,33,336,3369,,,,,,False,True,False,0.5714285714285714
EU_TED_6150039,ocds-ted-eu-2016218297,2016218297-1,EU_TED,FR,France,,True,,,,2016.0,,,NaT,,197859.0,EUR,219623.49000000002,197859.0,243782.07390000005,5.341678788564036,,open,OPEN,False,,True,1.0,True,False,0.9998982334511768,,nan,Groupement de coopération sanitaire,Public undertaking,OTHER,nan,Électricité de France,FR,False,True,31682000.0,31,316,3168,,,,,,False,True,False,0.7142857142857143
EU_TED_28697028,ocds-ted-eu-674745,-nan,EU_TED,FR,France,,True,,,,2021.0,6.0,2.0,NaT,,,EUR,,,,,,open,OPEN,False,,False,,False,False,1.0,,None,Flandre Opale Habitat,Utilities,OTHER,,,,False,True,71000000,71,710,7100,,,,,,True,True,False,0.2857142857142857
OCDS_CO_40076922,ocds-k50g02-18-12-7542403,18-12-7542403,OCDS_CO,CO,Colombia,,True,2018-01-03 07:00:00,,,2018.0,1.0,1.0,2018-01,,7800000.0,COP,2644.0677966101694,2403.697996918336,2802.7118644067796,3.4222725867123174,2644.0677966101694,direct,DIRECT,False,False,False,0.0,False,False,0.11302934346109172,0.03271454890460778,890680236,CUNDINAMARCA - APULO - PERSONERIA,,OTHER,107362947,YADY MIRLEY RADA PaEZ,Colombia,False,False,801116,80,801,8011,,SERVICES,,,,False,True,False,0.7142857142857143
EU_TED_20557740,ocds-ted-eu-6096232,-3,EU_TED,LT,Lithuania,,True,,,,2018.0,10.0,4.0,NaT,,,EUR,,,,,,open,OPEN,False,,False,,False,False,0.45339095530245377,,135163499,Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos,Public undertaking,OTHER,,,,False,True,33141000.0,33,331,3314,,,,,,True,True,False,0.2857142857142857
EU_TED_22697377,ocds-ted-eu-2019330721,2019330721-nan,EU_TED,PL,Poland,,True,,,,2019.0,7.0,3.0,NaT,,595.54,EUR,667.0048,595.54,693.6849920000001,2.8241289592628944,,limited,NEGOTIATED,False,,False,6.0,False,True,0.4249657868968239,,PL712,32 Baza Lotnictwa Taktycznego w Łasku,Utilities,OTHER,nan,Drabpol sp.j. P. Drabczyński i Wspólnik,PL,False,True,34731000,34,347,3473,,,,,,False,False,False,0.7142857142857143
EU_TED_29067564,ocds-ted-eu-1045281,-5,EU_TED,BG,Bulgaria,,False,,,,2021.0,10.0,4.0,NaT,,9382349.93,EUR,11071172.917399999,9382349.93,10517614.271529999,7.0441936339383675,,open,OPEN,True,,True,,False,False,0.9869051101345326,,000695406,МИНИСТЕРСТВО НА ФИНАНСИТЕ - ЦЕНТРАЛЕН ОРГАН ЗА ПОКУПКИ,Central government,CENTRAL_GOVERNMENT,,,,False,True,30125100,30,301,3012,,,,,,False,True,False,0.42857142857142855
EU_TED_27467249,ocds-ted-eu-2021343311,2021343311-nan,EU_TED,FR,France,,True,,,,2021.0,7.0,3.0,NaT,,135216.8,EUR,159555.82399999996,135216.8,151578.03279999996,5.202912661145637,,open,OPEN,False,,False,2.0,False,True,0.5713312464360091,,24340076900093,Communauté d'agglomération Béziers Méditerranée,Public undertaking,OTHER,nan,Transdev Occitanie Ouest,FR,False,True,60100000,60,601,6010,,,,,,False,False,False,0.7142857142857143
EU_TED_19072291,ocds-ted-eu-4610783,-1,EU_TED,LT,Lithuania,,True,,,,2018.0,6.0,2.0,NaT,,,EUR,,,,,,open,OPEN,False,,False,,False,False,0.15611756611775088,,300127004,UAB Panevėžio regiono atliekų tvarkymo centras,Utilities,OTHER,,,,False,True,90511000.0,90,905,9051,,,,,,True,True,False,0.2857142857142857
EU_TED_14708372,ocds-ted-eu-246864,-32,EU_TED,IT,Italy,,True,,,,2018.0,1.0,1.0,NaT,,1325708.0,EUR,1564335.44,1325708.0,1658195.5664000001,6.194329884350978,,open,OPEN,False,,True,,False,False,1.0,,None,Azienda Sanitaria Locale AL---Azienda Sanitaria Locale AT---Azienda Sanitaria Ospedaliera di Alessandria,Public undertaking,OTHER,,,,False,True,33141000.0,33,331,3314,,,,,,False,True,False,0.42857142857142855
EU_TED_17052973,ocds-ted-eu-2591465,-1,EU_TED,FR,France,,True,,,,2018.0,9.0,3.0,NaT,,,EUR,,,,,,open,OPEN,True,,False,,False,False,0.5000337432545607,,21974011500015,Commune de Saint-Denis de la Réunion,Body governed by public law,PUBLIC_BODY,,,,False,True,90922000.0,90,909,9092,,,,,,True,True,False,0.2857142857142857
EU_TED_31999457,ocds-ted-eu-1560940,-13 - 869,EU_TED,DE,Germany,,True,,,,2022.0,11.0,4.0,NaT,,,EUR,,,,,,limited,NEGOTIATED,True,,False,,False,False,1.0,,None,PBMG eG,Utilities,OTHER,,,,False,True,33600000,33,336,3360,,,,,,True,True,False,0.2857142857142857
